bowler,econ,wickets,matches,Caping,count,balls_per_wicket,SR,id
MJ Henry,2.290322581,1,2,2000000,31,31,71,500
J Searles,2.044444444,2,3,2000000,45,22.5,46,501
KM Asif,2.026315789,3,2,2000000,38,12.66666667,25.66666667,502
V Chakravarthy,1.944444444,1,1,2000000,18,18,35,503
MK Tiwary,1.911111111,1,6,2000000,45,45,86,504
T Curran,1.890625,6,5,2000000,64,10.66666667,20.16666667,505
B Geeves,1.857142857,1,2,2000000,49,49,91,506
P Amarnath,1.8515625,7,6,2000000,128,18.28571429,33.85714286,507
TP Sudhindra,1.851351351,1,3,2000000,74,74,137,508
P Raj,1.818181818,1,2,2000000,33,33,60,509
R Ninan,1.805555556,3,2,2000000,36,12,21.66666667,510
S Narwal,1.803571429,5,6,2000000,112,22.4,40.4,511
K Santokie,1.8,3,2,2000000,50,16.66666667,30,512
L Ferguson,1.79245283,2,5,2000000,106,53,95,513
A Uniyal,1.783783784,2,2,2000000,37,18.5,33,514
D Kalyankrishna,1.775510204,2,3,2000000,49,24.5,43.5,515
KJ Abbott,1.77,2,5,2000000,100,50,88.5,516
MA Khote,1.75862069,2,2,2000000,29,14.5,25.5,517
SS Agarwal,1.75,1,1,2000000,24,24,42,518
GS Sandhu,1.744680851,1,2,2000000,47,47,82,519
JJ van der Wath,1.743243243,3,3,2000000,74,24.66666667,43,520
A Nel,1.722222222,1,1,2000000,18,18,31,521
L Ablish,1.704545455,3,3,2000000,44,14.66666667,25,522
A Joseph,1.703703704,6,3,2000000,54,9,15.33333333,523
Gagandeep Singh,1.698795181,3,4,2000000,83,27.66666667,47,524
DT Christian,1.69579288,11,22,2000000,309,28.09090909,47.63636364,525
S Vidyut,1.692307692,1,1,2000000,13,13,22,526
R Shukla,1.677419355,5,7,2000000,124,24.8,41.6,527
V Shankar,1.673913043,2,10,2000000,92,46,77,528
AA Noffke,1.666666667,1,1,2000000,24,24,40,529
JDS Neesham,1.654545455,1,4,2000000,55,55,91,530
Avesh Khan,1.651898734,5,8,2000000,158,31.6,52.2,531
H Viljoen,1.647887324,7,6,2000000,142,20.28571429,33.42857143,532
RG More,1.638888889,1,2,2000000,36,36,59,533
B Laughlin,1.638418079,10,9,2000000,177,17.7,29,534
K Khejroliya,1.632653061,3,5,2000000,98,32.66666667,53.33333333,535
A Flintoff,1.606060606,2,3,2000000,66,33,53,536
S Mavi,1.602272727,5,9,2000000,176,35.2,56.4,537
D Willey,1.6,2,3,2000000,60,30,48,538
S Ladda,1.6,5,9,2000000,140,28,44.8,539
AF Milne,1.598214286,4,5,2000000,112,28,44.75,540
T Shamsi,1.591397849,3,4,2000000,93,31,49.33333333,541
Jaskaran Singh,1.583333333,6,7,2000000,108,18,28.5,542
D Salunkhe,1.58,1,5,2000000,50,50,79,543
KC Cariappa,1.565022422,8,11,2000000,223,27.875,43.625,544
P Krishna,1.559440559,14,18,2000000,429,30.64285714,47.78571429,545
AP Dole,1.555555556,5,3,2000000,72,14.4,22.4,546
Joginder Sharma,1.551851852,12,15,2000000,270,22.5,34.91666667,547
MP Stoinis,1.548648649,15,24,2000000,370,24.66666667,38.2,548
JR Hopes,1.543661972,14,20,2000000,355,25.35714286,39.14285714,549
Mohammad Asif,1.538860104,8,8,2000000,193,24.125,37.125,550
Mohammed Siraj,1.537391304,28,26,2000000,575,20.53571429,31.57142857,551
A Mithun,1.535714286,7,16,2000000,308,44,67.57142857,552
BE Hendricks,1.525974026,9,7,2000000,154,17.11111111,26.11111111,553
Pankaj Singh,1.522727273,11,17,2000000,308,28,42.63636364,554
AJ Finch,1.522727273,1,5,2000000,44,44,67,555
Karanveer Singh,1.521327014,12,9,2000000,211,17.58333333,26.75,556
BB Sran,1.520628684,18,24,2000000,509,28.27777778,43,557
L Plunkett,1.519736842,4,7,2000000,152,38,57.75,558
Shoaib Malik,1.50877193,2,5,2000000,57,28.5,43,559
BCJ Cutting,1.506944444,10,17,2000000,288,28.8,43.4,560
Shoaib Ahmed,1.504950495,5,7,2000000,101,20.2,30.4,561
R McLaren,1.504155125,12,18,2000000,361,30.08333333,45.25,562
DJ Hussey,1.501567398,8,26,2000000,319,39.875,59.875,563
Anureet Singh,1.492822967,18,22,2000000,418,23.22222222,34.66666667,564
Mohammed Shami,1.49096099,40,49,2000000,1051,26.275,39.175,565
SB Joshi,1.490909091,1,4,2000000,55,55,82,566
RR Raje,1.48951049,6,10,2000000,143,23.83333333,35.5,567
DR Smith,1.488117002,26,46,2000000,547,21.03846154,31.30769231,568
SN Thakur,1.485714286,36,35,2000000,735,20.41666667,30.33333333,569
VRV Singh,1.485013624,12,18,2000000,367,30.58333333,45.41666667,570
M de Lange,1.48245614,5,5,2000000,114,22.8,33.8,571
AD Russell,1.481586402,55,61,5000000,1059,19.25454545,28.52727273,572
Swapnil Singh,1.475409836,1,5,2000000,61,61,90,573
J Behrendorff,1.473684211,5,5,2000000,114,22.8,33.6,574
AS Rajpoot,1.467889908,22,23,2000000,436,19.81818182,29.09090909,575
C de Grandhomme,1.466960352,6,19,2000000,227,37.83333333,55.5,576
S Kuggeleijn,1.46,2,2,2000000,50,25,36.5,577
H Gurney,1.458333333,7,8,2000000,168,24,35,578
DNT Zoysa,1.455882353,2,3,2000000,68,34,49.5,579
SJ Srivastava,1.455445545,14,14,2000000,303,21.64285714,31.5,580
S Kaushik,1.45410628,6,10,2000000,207,34.5,50.16666667,581
JD Unadkat,1.453350854,77,72,5000000,1522,19.76623377,28.72727273,582
DJG Sammy,1.452282158,11,19,2000000,241,21.90909091,31.81818182,583
CJ Jordan,1.451456311,12,11,2000000,206,17.16666667,24.91666667,584
SB Bangar,1.450331126,4,9,2000000,151,37.75,54.75,585
P Suyal,1.447619048,2,5,2000000,105,52.5,76,586
Shivam Sharma,1.447368421,4,5,2000000,114,28.5,41.25,587
TA Boult,1.447268107,38,33,2000000,787,20.71052632,29.97368421,588
K Ahmed,1.447257384,19,10,2000000,237,12.47368421,18.05263158,589
NLTC Perera,1.445544554,31,36,2000000,707,22.80645161,32.96774194,590
JP Faulkner,1.445156125,61,60,5000000,1249,20.47540984,29.59016393,591
K Paul,1.443820225,9,8,2000000,178,19.77777778,28.55555556,592
R Parag,1.44047619,2,7,2000000,84,42,60.5,593
JEC Franklin,1.437908497,9,15,2000000,153,17,24.44444444,594
S Lamichhane,1.436018957,13,9,2000000,211,16.23076923,23.30769231,595
J Suchith,1.434782609,12,14,2000000,276,23,33,596
TG Southee,1.434497817,28,40,2000000,916,32.71428571,46.92857143,597
O Thomas,1.433333333,5,4,2000000,60,12,17.2,598
V Pratap Singh,1.429951691,10,9,2000000,207,20.7,29.6,599
TS Mills,1.429906542,5,5,2000000,107,21.4,30.6,600
CJ McKay,1.428571429,1,2,2000000,42,42,60,601
P Sahu,1.428571429,3,5,2000000,105,35,50,602
VY Mahesh,1.426553672,21,17,2000000,354,16.85714286,24.04761905,603
AN Ahmed,1.424929178,12,17,2000000,353,29.41666667,41.91666667,604
P Parameswaran,1.424050633,9,8,2000000,158,17.55555556,25,605
T Natarajan,1.419753086,2,6,2000000,81,40.5,57.5,606
PJ Sangwan,1.417266187,35,39,2000000,834,23.82857143,33.77142857,607
S Kaul,1.416750757,49,45,2000000,991,20.2244898,28.65306122,608
RS Bopara,1.416267943,11,14,2000000,209,19,26.90909091,609
D Wiese,1.416083916,16,14,2000000,286,17.875,25.3125,610
VR Aaron,1.411703239,42,45,2000000,957,22.78571429,32.16666667,611
LR Shukla,1.411214953,15,27,2000000,321,21.4,30.2,612
Kamran Khan,1.409356725,10,9,2000000,171,17.1,24.1,613
YA Abdulla,1.406392694,15,11,2000000,219,14.6,20.53333333,614
AB McDonald,1.401069519,11,10,2000000,187,17,23.81818182,615
AJ Tye,1.395041322,39,26,2000000,605,15.51282051,21.64102564,616
UT Yadav,1.393963152,119,118,10000000,2551,21.43697479,29.88235294,617
Kuldeep Yadav,1.392298436,39,39,2000000,831,21.30769231,29.66666667,618
R Vinay Kumar,1.391728625,105,104,5000000,2152,20.4952381,28.52380952,619
BA Stokes,1.391666667,26,30,2000000,600,23.07692308,32.11538462,620
A Singh,1.388475836,31,26,2000000,538,17.35483871,24.09677419,621
MJ McClenaghan,1.388386124,71,56,5000000,1326,18.67605634,25.92957746,622
MM Sharma,1.388382688,91,85,5000000,1756,19.2967033,26.79120879,623
KW Richardson,1.386292835,18,14,2000000,321,17.83333333,24.72222222,624
ND Doshi,1.385964912,2,4,2000000,57,28.5,39.5,625
K Gowtham,1.38292011,11,22,2000000,363,33,45.63636364,626
S Tyagi,1.378504673,6,14,2000000,214,35.66666667,49.16666667,627
JE Taylor,1.378151261,6,5,2000000,119,19.83333333,27.33333333,628
S Sharma,1.377862595,12,11,2000000,262,21.83333333,30.08333333,629
DJ Bravo,1.372652141,147,131,10000000,2662,18.10884354,24.85714286,630
K Rabada,1.370023419,31,18,2000000,427,13.77419355,18.87096774,631
Parvez Rasool,1.368686869,4,11,2000000,198,49.5,67.75,632
JO Holder,1.366071429,5,11,2000000,224,44.8,61.2,633
DJ Hooda,1.365217391,6,20,2000000,230,38.33333333,52.33333333,634
AD Mathews,1.360450563,27,44,2000000,799,29.59259259,40.25925926,635
B Stanlake,1.36,7,6,2000000,150,21.42857143,29.14285714,636
SS Sarkar,1.36,1,2,2000000,25,25,34,637
Harmeet Singh,1.36,1,1,2000000,25,25,34,638
PC Valthaty,1.357615894,7,10,2000000,151,21.57142857,29.28571429,639
P Awana,1.357424442,39,33,2000000,761,19.51282051,26.48717949,640
PM Sarvesh Kumar,1.35483871,1,2,2000000,31,31,42,641
AM Nayar,1.351464435,9,19,2000000,239,26.55555556,35.88888889,642
M Ur Rahman,1.35026738,17,16,2000000,374,22,29.70588235,643
BA Bhatt,1.35,12,15,2000000,300,25,33.75,644
RV Gomez,1.34375,5,9,2000000,96,19.2,25.8,645
MG Johnson,1.342679128,62,54,5000000,1284,20.70967742,27.80645161,646
DS Kulkarni,1.342163355,86,90,5000000,1812,21.06976744,28.27906977,647
SB Jakati,1.339170507,47,57,5000000,1085,23.08510638,30.91489362,648
S Aravind,1.338917526,45,38,2000000,776,17.24444444,23.08888889,649
SB Wagh,1.336538462,5,8,2000000,104,20.8,27.8,650
I Sharma,1.335390947,71,89,5000000,1944,27.38028169,36.56338028,651
A Choudhary,1.333333333,5,5,2000000,108,21.6,28.8,652
AA Chavan,1.329268293,8,13,2000000,246,30.75,40.875,653
CH Morris,1.329249617,70,61,5000000,1306,18.65714286,24.8,654
SC Ganguly,1.328467153,10,20,2000000,274,27.4,36.4,655
J Theron,1.324561404,11,10,2000000,228,20.72727273,27.45454545,656
KV Sharma,1.323636364,54,61,5000000,1100,20.37037037,26.96296296,657
L Balaji,1.323395982,76,73,5000000,1543,20.30263158,26.86842105,658
AB Dinda,1.322949777,69,75,5000000,1573,22.79710145,30.15942029,659
Imran Tahir,1.319870759,79,55,5000000,1238,15.67088608,20.6835443,660
M Ashwin,1.317757009,15,22,2000000,428,28.53333333,37.6,661
AM Salvi,1.315789474,7,7,2000000,152,21.71428571,28.57142857,662
KP Appanna,1.312217195,9,13,2000000,221,24.55555556,32.22222222,663
PP Chawla,1.311302682,149,156,10000000,3132,21.02013423,27.56375839,664
WA Mota,1.310810811,4,7,2000000,74,18.5,24.25,665
YS Chahal,1.308791209,100,83,5000000,1820,18.2,23.82,666
JD Ryder,1.306722689,8,16,2000000,238,29.75,38.875,667
TL Suman,1.304635762,6,11,2000000,151,25.16666667,32.83333333,668
JH Kallis,1.303510759,65,89,5000000,1766,27.16923077,35.41538462,669
Harmeet Singh,1.302973978,26,27,2000000,538,20.69230769,26.96153846,670
MN Samuels,1.302752294,9,11,2000000,218,24.22222222,31.55555556,671
D du Preez,1.302325581,4,2,2000000,43,10.75,14,672
Washington Sundar,1.301994302,16,20,2000000,351,21.9375,28.5625,673
DP Vijaykumar,1.300653595,4,9,2000000,153,38.25,49.75,674
J Archer,1.299009901,26,21,2000000,505,19.42307692,25.23076923,675
Ankit Soni,1.297297297,2,6,2000000,111,55.5,72,676
DT Christian,1.296758105,34,40,2000000,802,23.58823529,30.58823529,677
IC Pandey,1.290393013,18,24,2000000,458,25.44444444,32.83333333,678
PV Tambe,1.286576169,28,33,2000000,663,23.67857143,30.46428571,679
IK Pathan,1.286127168,80,101,5000000,2076,25.95,33.375,680
SM Boland,1.285714286,2,2,2000000,42,21,27,681
Azhar Mahmood,1.283882784,29,23,2000000,546,18.82758621,24.17241379,682
S Sreesanth,1.283870968,40,44,2000000,930,23.25,29.85,683
A Nehra,1.283144913,106,88,5000000,1946,18.35849057,23.55660377,684
Anand Rajan,1.280254777,8,8,2000000,157,19.625,25.125,685
DAJ Bracewell,1.28,3,1,2000000,25,8.333333333,10.66666667,686
RP Singh,1.279869067,90,82,5000000,1833,20.36666667,26.06666667,687
AC Thomas,1.277258567,14,15,2000000,321,22.92857143,29.28571429,688
JJ Bumrah,1.270454545,82,77,5000000,1760,21.46341463,27.26829268,689
R Dhawan,1.26984127,18,25,2000000,504,28,35.55555556,690
Umar Gul,1.268965517,12,6,2000000,145,12.08333333,15.33333333,691
Sandeep Sharma,1.268244576,83,68,5000000,1521,18.3253012,23.24096386,692
RA Jadeja,1.267942584,108,142,10000000,2508,23.22222222,29.44444444,693
P Kumar,1.267419229,90,119,10000000,2569,28.54444444,36.17777778,694
BW Hilfenhaus,1.263157895,22,17,2000000,380,17.27272727,21.81818182,695
DL Chahar,1.26147427,33,34,2000000,719,21.78787879,27.48484848,696
GB Hogg,1.25708061,23,21,2000000,459,19.95652174,25.08695652,697
NM Coulter-Nile,1.255652174,36,25,2000000,575,15.97222222,20.05555556,698
Z Khan,1.254937163,102,99,5000000,2228,21.84313725,27.41176471,699
VS Malik,1.253588517,6,13,2000000,209,34.83333333,43.66666667,700
M Morkel,1.252688172,77,70,5000000,1674,21.74025974,27.23376623,701
AR Patel,1.252042007,71,81,5000000,1714,24.14084507,30.22535211,702
SK Trivedi,1.251477347,65,75,5000000,1523,23.43076923,29.32307692,703
A Zampa,1.251121076,19,11,2000000,223,11.73684211,14.68421053,704
MM Patel,1.24981685,74,63,5000000,1365,18.44594595,23.05405405,705
SW Tait,1.248062016,23,21,2000000,516,22.43478261,28,706
DJ Muthuswami,1.24691358,4,6,2000000,81,20.25,25.25,707
Mustafizur Rahman,1.244122966,24,24,2000000,553,23.04166667,28.66666667,708
R Bhatia,1.240220049,71,91,5000000,1636,23.04225352,28.57746479,709
S Nadeem,1.239558708,42,62,5000000,1269,30.21428571,37.45238095,710
Shakib Al Hasan,1.239017126,59,62,5000000,1343,22.76271186,28.20338983,711
S Randiv,1.238888889,6,8,2000000,180,30,37.16666667,712
S Badree,1.236434109,11,12,2000000,258,23.45454545,29,713
BAW Mendis,1.235772358,8,10,2000000,246,30.75,38,714
CRD Fernando,1.23553719,17,10,2000000,242,14.23529412,17.58823529,715
PP Ojha,1.232740586,89,90,5000000,1912,21.48314607,26.48314607,716
B Lee,1.232662192,25,38,2000000,894,35.76,44.08,717
JM Kemp,1.227272727,3,5,2000000,44,14.66666667,18,718
YK Pathan,1.221742882,42,82,5000000,1159,27.5952381,33.71428571,719
A Mishra,1.212352754,156,147,10000000,3141,20.13461538,24.41025641,720
CK Langeveldt,1.209876543,13,7,2000000,162,12.46153846,15.07692308,721
B Kumar,1.203402647,133,117,10000000,2645,19.88721805,23.93233083,722
M Kartik,1.202923474,31,55,5000000,1163,37.51612903,45.12903226,723
R Tewatia,1.200668896,13,18,2000000,299,23,27.61538462,724
SK Warne,1.200165426,57,54,5000000,1209,21.21052632,25.45614035,725
BMAJ Mendis,1.2,1,2,2000000,30,30,36,726
AG Murtaza,1.196226415,9,12,2000000,265,29.44444444,35.22222222,727
S Warrier,1.194444444,2,3,2000000,72,36,43,728
M Santner,1.193181818,4,4,2000000,88,22,26.25,729
DE Bollinger,1.192504259,37,27,2000000,587,15.86486486,18.91891892,730
KH Pandya,1.192066806,39,53,5000000,958,24.56410256,29.28205128,731
M Ntini,1.184466019,7,9,2000000,206,29.42857143,34.85714286,732
Gurkeerat Singh,1.182926829,5,6,2000000,82,16.4,19.4,733
DP Nannes,1.179372197,28,29,2000000,669,23.89285714,28.17857143,734
SE Bond,1.178947368,9,8,2000000,190,21.11111111,24.88888889,735
MA Starc,1.177364865,34,26,2000000,592,17.41176471,20.5,736
GR Napier,1.173913043,1,1,2000000,23,23,27,737
Shoaib Akhtar,1.173913043,5,3,2000000,46,9.2,10.8,738
SL Malinga,1.171526587,170,122,10000000,2915,17.14705882,20.08823529,739
Harbhajan Singh,1.170481221,150,157,10000000,3408,22.72,26.59333333,740
M Ali,1.163793103,9,14,2000000,232,25.77777778,30,741
C Nanda,1.163265306,2,3,2000000,49,24.5,28.5,742
J Botha,1.154727794,25,34,2000000,698,27.92,32.24,743
KMDN Kulasekara,1.142857143,5,5,2000000,105,21,24,744
T Thushara,1.141843972,8,6,2000000,141,17.625,20.125,745
R Rampaul,1.140221402,16,12,2000000,271,16.9375,19.3125,746
T Henderson,1.138888889,1,2,2000000,36,36,41,747
DL Vettori,1.138601036,28,34,2000000,772,27.57142857,31.39285714,748
RN ten Doeschate,1.13253012,2,10,2000000,83,41.5,47,749
RE van der Merwe,1.128089888,21,21,2000000,445,21.19047619,23.9047619,750
SP Narine,1.124318005,122,109,10000000,2566,21.03278689,23.64754098,751
RD Chahar,1.124242424,15,15,2000000,330,22,24.73333333,752
R Ashwin,1.12286002,125,136,10000000,2979,23.832,26.76,753
I Sodhi,1.121546961,9,8,2000000,181,20.11111111,22.55555556,754
Rashid Khan,1.120293848,55,46,2000000,1089,19.8,22.18181818,755
GD McGrath,1.115625,12,14,2000000,320,26.66666667,29.75,756
M Muralitharan,1.110894942,64,66,5000000,1542,24.09375,26.765625,757
LH Ferguson,1.107142857,3,4,2000000,84,28,31,758
SM Harwood,1.106060606,3,3,2000000,66,22,24.33333333,759
DW Steyn,1.105166052,96,92,5000000,2168,22.58333333,24.95833333,760
A Kumble,1.102083333,45,42,2000000,960,21.33333333,23.51111111,761
J Yadav,1.097777778,5,12,2000000,225,45,49.4,762
SM Pollock,1.093189964,11,13,2000000,279,25.36363636,27.72727273,763
MJ Clarke,1.092307692,2,5,2000000,65,32.5,35.5,764
SMSM Senanayake,1.082901554,9,8,2000000,193,21.44444444,23.22222222,765
JW Hastings,1.081967213,3,3,2000000,61,20.33333333,22,766
FH Edwards,1.061643836,5,6,2000000,146,29.2,31,767
GH Vihari,1.055555556,1,5,2000000,36,36,38,768
A Chandila,1.043103448,11,12,2000000,232,21.09090909,22,769
Sohail Tanvir,1.03875969,22,11,2000000,258,11.72727273,12.18181818,770
L Ngidi,1.037735849,11,7,2000000,159,14.45454545,15,771
A Roy,0.933333333,1,1,2000000,15,15,14,772
SS Mundhe,0.857142857,1,1,2000000,7,7,6,773
Sachin Baby,0.8,2,2,2000000,10,5,4,774
NB Singh,0.681818182,1,2,2000000,22,22,15,775
