team1,team2,toss_winner,toss_decision,match_winner,venue,weather,win_by_runs,win_by_wickets,id
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Dry,35,0,1
Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Dry,0,10,2
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,15,0,3
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Dry,0,9,4
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Humid,0,4,5
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Bat,Kings XI Punjab,Holkar Cricket Stadium,Sunny,0,8,6
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Sunny,0,4,7
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Humid,0,8,8
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,M Chinnaswamy Stadium,Sunny,0,4,9
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Kolkata Knight Riders,Eden Gardens,Humid,17,0,10
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Bat,Delhi Daredevils,Feroz Shah Kotla,Humid,51,0,11
Gujarat Lions,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Humid,0,6,12
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Kolkata Knight Riders,Feroz Shah Kotla,Humid,0,4,13
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,5,0,14
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Field,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Humid,21,0,15
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,15,0,16
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Holkar Cricket Stadium,Dry,0,8,17
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,Eden Gardens,Humid,0,4,18
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Mumbai Indians,Wankhede Stadium,Dry,14,0,19
Kings XI Punjab,Gujarat Lions,Gujarat Lions,Field,Kings XI Punjab,Saurashtra Cricket Association Stadium,Humid,26,0,20
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Kolkata Knight Riders,Eden Gardens,Dry,82,0,21
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,M Chinnaswamy Stadium,Humid,0,7,22
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Humid,0,7,23
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Humid,26,0,24
Gujarat Lions,Mumbai Indians,Gujarat Lions,Bat,Mumbai Indians,Saurashtra Cricket Association Stadium,Sunny,0,0,25
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,0,10,26
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Dry,48,0,27
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Sunny,0,5,28
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Feroz Shah Kotla,Dry,0,6,29
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,0,7,30
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Kings XI Punjab,M Chinnaswamy Stadium,Sunny,19,0,31
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Mumbai Indians,Feroz Shah Kotla,Dry,146,0,32
