batsman,total_runs,out,numberofballs,average,strikerate,capping,id
V Kohli,5426,152,4111,35.69736842,131.987351,10000000,1
SK Raina,5386,160,3916,33.6625,137.5383044,10000000,2
RG Sharma,4902,161,3742,30.44720497,130.9994655,10000000,3
DA Warner,4717,114,3292,41.37719298,143.2867558,10000000,4
S Dhawan,4601,137,3665,33.58394161,125.5388813,10000000,5
CH Gayle,4525,110,2972,41.13636364,152.2543742,10000000,6
MS Dhoni(wk),4450,118,3206,37.71186441,138.8022458,10000000,7
RV Uthappa(wk),4420,156,3381,28.33333333,130.7305531,10000000,8
AB de Villiers(wk),4414,104,2902,42.44230769,152.1019986,10000000,9
G Gambhir,4219,134,3400,31.48507463,124.0882353,10000000,10
AM Rahane,3834,117,3133,32.76923077,122.3747207,10000000,11
KD Karthik(wk),3669,138,2813,26.58695652,130.4301458,10000000,12
SR Watson,3590,115,2566,31.2173913,139.9064692,10000000,13
AT Rayudu(wk),3313,114,2616,29.06140351,126.6437309,10000000,14
YK Pathan,3222,110,2240,29.29090909,143.8392857,10000000,15
BB McCullum(wk),2886,106,2185,27.22641509,132.0823799,10000000,16
PA Patel(wk),2864,127,2352,22.5511811,121.7687075,10000000,17
MK Pandey,2855,95,2352,30.05263158,121.3860544,10000000,18
KA Pollard,2772,102,1879,27.17647059,147.5252794,10000000,19
Yuvraj Singh,2755,109,2121,25.27522936,129.8915606,10000000,20
V Sehwag,2728,98,1746,27.83673469,156.2428408,10000000,21
M Vijay,2589,93,2104,27.83870968,123.0513308,10000000,22
SE Marsh,2489,65,1866,38.29230769,133.3869239,10000000,23
JH Kallis,2427,89,2219,27.26966292,109.3735917,10000000,24
DR Smith,2385,81,1758,29.44444444,135.665529,10000000,25
SR Tendulkar,2334,71,1943,32.87323944,120.1235203,10000000,26
SV Samson(wk),2215,79,1693,28.03797468,130.8328411,5000000,27
R Dravid(wk),2174,77,1877,28.23376623,115.823122,10000000,28
AC Gilchrist(wk),2069,76,1492,27.22368421,138.6729223,5000000,29
SPD Smith,2038,59,1570,34.54237288,129.8089172,10000000,30
JP Duminy,2031,49,1633,41.44897959,124.3723209,10000000,31
KL Rahul(wk),1988,49,1428,40.57142857,139.2156863,10000000,32
MEK Hussey,1977,52,1608,38.01923077,122.9477612,10000000,33
RA Jadeja,1931,83,1567,23.26506024,123.2291002,10000000,34
F du Plessis,1861,56,1459,33.23214286,127.5531186,10000000,35
DA Miller,1858,54,1327,34.40740741,140.0150716,5000000,36
DPMD Jayawardene,1808,64,1460,28.25,123.8356164,10000000,37
WP Saha(wk),1767,74,1340,23.87837838,131.8656716,10000000,38
RR Pant(wk),1767,49,1071,36.06122449,164.9859944,10000000,39
AJ Finch,1741,66,1332,26.37878788,130.7057057,10000000,40
MK Tiwary,1696,60,1446,28.26666667,117.2890733,10000000,41
SS Iyer,1695,57,1321,29.73684211,128.3118849,10000000,42
KC Sangakkara(wk),1687,69,1387,24.44927536,121.629416,10000000,43
NV Ojha(wk),1555,74,1308,21.01351351,118.883792,5000000,44
Mandeep Singh,1535,71,1227,21.61971831,125.1018745,5000000,45
Q de Kock(wk),1478,46,1109,32.13043478,133.2732191,10000000,46
KK Nair,1465,61,1137,24.01639344,128.8478452,5000000,47
S Badrinath,1441,48,1210,30.02083333,119.0909091,5000000,48
GJ Maxwell,1401,62,864,22.59677419,162.1527778,10000000,49
BJ Hodge,1400,46,1117,30.43478261,125.3357207,10000000,50
JC Buttler(wk),1396,37,919,37.72972973,151.9042437,5000000,51
SC Ganguly,1349,54,1261,24.98148148,106.9785884,10000000,52
DJ Hussey,1322,48,1069,27.54166667,123.6669785,10000000,53
KS Williamson,1309,34,964,38.5,135.7883817,10000000,54
CA Lynn,1288,37,909,34.81081081,141.6941694,10000000,55
SS Tiwary,1276,42,1064,30.38095238,119.924812,5000000,56
MA Agarwal,1269,67,988,18.94029851,128.4412955,10000000,57
TM Dilshan,1153,41,1006,28.12195122,114.612326,5000000,58
ML Hayden,1107,27,802,41,138.0299252,10000000,59
N Rana,1093,40,808,27.325,135.2722772,2000000,60
KM Jadhav(wk),1087,46,851,23.63043478,127.7320799,5000000,61
HH Pandya,1082,38,689,28.47368421,157.0391872,10000000,62
LMP Simmons(wk),1079,27,851,39.96296296,126.7920094,5000000,63
LRPL Taylor,1017,41,818,24.80487805,124.3276284,5000000,64
M Vohra,1013,42,767,24.11904762,132.0730117,2000000,65
KP Pietersen,1001,28,740,35.75,135.2702703,10000000,66
AS Yadav,995,35,746,28.42857143,133.3780161,10000000,67
Y Venugopal Rao,985,42,834,23.45238095,118.1055156,10000000,68
JA Morkel,975,40,682,24.375,142.9618768,2000000,69
A Symonds,974,26,748,37.46153846,130.2139037,10000000,70
CL White,971,35,760,27.74285714,127.7631579,10000000,71
MC Henriques,969,35,756,27.68571429,128.1746032,10000000,72
HH Gibbs,886,32,802,27.6875,110.4738155,2000000,73
STR Binny,880,44,683,20,128.8433382,5000000,74
EJG Morgan,854,38,702,22.47368421,121.6524217,10000000,75
MS Bisla(wk),798,37,697,21.56756757,114.4906743,2000000,76
ST Jayasuriya,768,29,531,26.48275862,144.6327684,10000000,77
RA Tripathi,761,27,553,28.18518519,137.6130199,2000000,78
GC Smith,739,30,666,24.63333333,110.960961,10000000,79
Ishan Kishan(wk),701,31,531,22.61290323,132.0150659,5000000,80
TL Suman,676,30,573,22.53333333,117.9755672,2000000,81
GJ Bailey,663,29,543,22.86206897,122.0994475,10000000,82
SA Yadav,608,29,465,20.96551724,130.7526882,2000000,83
P Shaw,604,24,423,25.16666667,142.7895981,2000000,84
HM Amla,577,13,407,44.38461538,141.7690418,10000000,85
M Manhas,514,24,469,21.41666667,109.5948827,2000000,86
S Gill,510,14,377,36.42857143,135.2785146,2000000,87
OA Shah,506,13,386,38.92307692,131.0880829,10000000,88
J Bairstow(wk),459,8,284,57.375,161.6197183,10000000,89
E Lewis,437,16,327,27.3125,133.6391437,5000000,90
SA Asnodkar,423,19,339,22.26315789,124.7787611,2000000,91
SN Khan,412,18,285,22.88888889,144.5614035,2000000,92
AL Menaria,401,22,356,18.22727273,112.6404494,2000000,93
MV Boucher,394,15,308,26.26666667,127.9220779,5000000,94
CA Pujara,390,18,391,21.66666667,99.74424552,5000000,95
DB Ravi Teja,375,20,317,18.75,118.29653,2000000,96
S Sohal,368,18,290,20.44444444,126.8965517,2000000,97
P Negi,365,26,288,14.03846154,126.7361111,2000000,98
AP Tare(wk),339,24,273,14.125,124.1758242,2000000,99
SW Billings(wk),337,19,250,17.73684211,134.8,10000000,100
DB Das,304,12,260,25.33333333,116.9230769,2000000,101
LA Pomersbach,302,11,244,27.45454545,123.7704918,2000000,102
UBT Chand,300,20,300,15,100,2000000,103
SP Goswami(wk),295,18,290,16.38888889,101.7241379,2000000,104
Y Nagar,285,15,257,19,110.8949416,2000000,105
VVS Laxman,282,16,266,17.625,106.0150376,5000000,106
GH Vihari,280,18,312,15.55555556,89.74358974,5000000,107
A Ashish Reddy,280,15,191,18.66666667,146.5968586,2000000,108
B Chipli,280,16,250,17.5,112,2000000,109
MJ Lumb,278,10,193,27.8,144.0414508,2000000,110
MJ Guptill,271,12,196,22.58333333,138.2653061,10000000,111
R Sathish,270,16,231,16.875,116.8831169,2000000,112
M Kaif,259,16,249,16.1875,104.0160643,5000000,113
SM Katich,241,10,184,24.1,130.9782609,10000000,114
MD Mishra,237,15,208,15.8,113.9423077,2000000,115
MR Marsh,225,12,196,18.75,114.7959184,2000000,116
K Goel,218,13,230,16.76923077,94.7826087,2000000,117
AA Jhunjhunwala,217,14,210,15.5,103.3333333,2000000,118
TM Head,205,6,148,34.16666667,138.5135135,2000000,119
PD Collingwood,203,4,156,50.75,130.1282051,10000000,120
SP Fleming,196,9,165,21.77777778,118.7878788,10000000,121
AS Raut,194,11,167,17.63636364,116.1676647,2000000,122
BJ Rohrer,193,7,141,27.57142857,136.8794326,5000000,123
Salman Butt,193,7,161,27.57142857,119.8757764,5000000,124
YV Takawale,192,8,178,24,107.8651685,2000000,125
Bipul Sharma,187,6,121,31.16666667,154.5454545,2000000,126
C Ingram,184,10,154,18.4,119.4805195,5000000,127
FY Fazal,183,9,172,20.33333333,106.3953488,2000000,128
JJ Roy,183,5,135,36.6,135.5555556,10000000,129
CR Brathwaite,182,14,110,13,165.4545455,5000000,130
AC Voges,181,6,142,30.16666667,127.4647887,5000000,131
AB Agarkar,179,8,152,22.375,117.7631579,10000000,132
C Munro,178,9,141,19.77777778,126.2411348,10000000,133
MF Maharoof,177,10,122,17.7,145.0819672,10000000,134
DH Yagnik,170,9,135,18.88888889,125.9259259,2000000,135
N Pooran(wk),170,6,106,28.33333333,160.3773585,10000000,136
CM Gautam,169,9,148,18.77777778,114.1891892,2000000,137
MN van Wyk,167,3,132,55.66666667,126.5151515,5000000,138
PA Reddy,164,10,160,16.4,102.5,2000000,139
Ankit Sharma,160,10,108,16,148.1481481,2000000,140
A Hales,150,6,118,25,127.1186441,10000000,141
Mohammad Nabi,142,8,91,17.75,156.043956,2000000,142
N Saini,142,12,144,11.83333333,98.61111111,10000000,143
S Anirudha,136,8,110,17,123.6363636,2000000,144
SB Styris,131,7,133,18.71428571,98.4962406,10000000,145
W Jaffer,130,7,121,18.57142857,107.4380165,2000000,146
S Gopal,129,8,118,16.125,109.3220339,2000000,147
Kamran Akmal,128,4,78,32,164.1025641,10000000,148
P Dogra,127,12,138,10.58333333,92.02898551,2000000,149
UT Khawaja,127,5,100,25.4,127,5000000,150
MC Juneja,125,7,127,17.85714286,98.42519685,10000000,151
BB Samantray,125,5,113,25,110.619469,5000000,152
Niraj Patel,121,5,118,24.2,102.5423729,10000000,153
AC Blizzard,120,7,89,17.14285714,134.8314607,2000000,154
RJ Harris,117,12,111,9.75,105.4054054,2000000,155
Misbah-ul-Haq,117,9,81,13,144.4444444,10000000,156
D Short,116,7,99,16.57142857,117.1717172,2000000,157
KK Cooper,116,9,68,12.88888889,170.5882353,5000000,158
DJ Harris,111,3,101,37,109.9009901,5000000,159
HV Patel,107,8,68,13.375,157.3529412,2000000,160
JDP Oram,106,8,108,13.25,98.14814815,5000000,161
LJ Wright,106,4,60,26.5,176.6666667,5000000,162
RJ Quiney,103,7,102,14.71428571,100.9803922,5000000,163
MS Gony,99,9,70,11,141.4285714,5000000,164
SD Chitnis,99,7,89,14.14285714,111.2359551,2000000,165
S Curran,95,4,55,23.75,172.7272727,10000000,166
PR Shah,92,8,91,11.5,101.0989011,2000000,167
DJ Jacobs,92,7,97,13.14285714,94.84536082,10000000,168
S Rana,91,5,81,18.2,112.345679,2000000,169
RT Ponting,91,8,127,11.375,71.65354331,10000000,170
AD Nath,90,10,98,9,91.83673469,2000000,171
S Hetmyer,90,5,73,18,123.2876712,10000000,172
Iqbal Abdulla,88,1,83,88,106.0240964,2000000,173
AP Majumdar,87,4,76,21.75,114.4736842,2000000,174
RE Levi,83,6,73,13.83333333,113.6986301,5000000,175
LA Carseldine,81,3,68,27,119.1176471,2000000,176
WPUJC Vaas,81,7,73,11.57142857,110.9589041,10000000,177
Shahid Afridi,81,8,46,10.125,176.0869565,5000000,178
AD Mascarenhas,79,10,78,7.9,101.2820513,5000000,179
PJ Cummins,77,6,55,12.83333333,140,10000000,180
S Rutherford,77,5,53,15.4,145.2830189,10000000,181
B Akhil,76,7,55,10.85714286,138.1818182,2000000,182
IR Jaggi,76,5,97,15.2,78.35051546,2000000,183
TR Birt,75,5,58,15,129.3103448,5000000,184
M Klinger,73,4,77,18.25,94.80519481,2000000,185
RR Sarwan,73,3,75,24.33333333,97.33333333,5000000,186
L Livingstone,71,3,47,23.66666667,151.0638298,5000000,187
AA Bilakhia,69,5,85,13.8,81.17647059,2000000,188
H Klaasen(wk),67,5,57,13.4,117.5438596,5000000,189
RR Powar,67,3,63,22.33333333,106.3492063,2000000,190
R Singh,66,6,65,11,101.5384615,5000000,191
R Sharma,66,11,75,6,88,10000000,192
Mohammad Hafeez,64,8,82,8,78.04878049,5000000,193
CR Woakes,63,5,66,12.6,95.45454545,10000000,194
WD Parnell,63,9,75,7,84,5000000,195
Anirudh Singh,63,4,66,15.75,95.45454545,2000000,196
M Rawat(wk),55,5,69,11,79.71014493,2000000,197
A Chopra,53,5,71,10.6,74.64788732,2000000,198
RR Rossouw,53,6,51,8.833333333,103.9215686,5000000,199
KB Arun Karthik,51,5,50,10.2,102,2000000,200
AG Paunikar,49,5,57,9.8,85.96491228,5000000,201
Yashpal Singh,47,4,66,11.75,71.21212121,2000000,202
Sunny Singh,43,4,31,10.75,138.7096774,5000000,203
AB Barath,42,2,42,21,100,5000000,204
LPC Silva,40,2,25,20,160,2000000,205
S Dube,40,4,33,10,121.2121212,10000000,206
BR Dunk,40,3,35,13.33333333,114.2857143,5000000,207
AUK Pathan,39,5,23,7.8,169.5652174,2000000,208
DJ Thornely,39,3,52,13,75,2000000,209
SP Jackson,38,2,31,19,122.5806452,5000000,210
B Sumanth,35,1,37,35,94.59459459,2000000,211
L Ronchi,34,3,34,11.33333333,100,5000000,212
S Sriram,31,2,36,15.5,86.11111111,5000000,213
T Taibu,31,3,26,10.33333333,119.2307692,2000000,214
VH Zol,29,2,26,14.5,111.5384615,2000000,215
M Lomror,28,2,24,14,116.6666667,2000000,216
NL McCullum,26,3,21,8.666666667,123.8095238,2000000,217
S Chanderpaul,25,3,31,8.333333333,80.64516129,2000000,218
ER Dwivedi,24,2,14,12,171.4285714,2000000,219
J Arunkumar,23,3,23,7.666666667,100,2000000,220
NS Naik(wk),23,2,31,11.5,74.19354839,2000000,221
MS Wade,22,3,33,7.333333333,66.66666667,10000000,222
CA Ingram,21,2,26,10.5,80.76923077,10000000,223
NJ Maddinson,20,3,21,6.666666667,95.23809524,5000000,224
Harpreet Singh,20,2,26,10,76.92307692,2000000,225
DR Martyn,19,2,24,9.5,79.16666667,10000000,226
R Bishnoi,19,3,17,6.333333333,111.7647059,2000000,227
A Mukund,19,2,22,9.5,86.36363636,5000000,228
P R Barman,19,1,24,19,79.16666667,2000000,229
Vishnu Vinod,19,3,26,6.333333333,73.07692308,2000000,230
BJ Haddin,18,1,11,18,163.6363636,2000000,231
DS Lehmann,18,2,18,9,100,2000000,232
Parvez Rasool,17,2,20,8.5,85,5000000,233
AS Rajpoot,17,3,30,5.666666667,56.66666667,2000000,234
PP Ojha,16,10,44,1.6,36.36363636,5000000,235
CK Kapugedera,16,3,23,5.333333333,69.56521739,2000000,236
S Singh,16,1,17,16,94.11764706,2000000,237
SA Abbott,15,1,13,15,115.3846154,5000000,238
C Madan,15,1,19,15,78.94736842,2000000,239
SD Lad,15,1,13,15,115.3846154,2000000,240
F Behardien,14,2,13,7,107.6923077,2000000,241
MDKJ Perera,14,2,13,7,107.6923077,5000000,242
DT Patil,13,1,13,13,100,2000000,243
D Shorey,13,2,17,6.5,76.47058824,2000000,244
T Kohli,11,3,19,3.666666667,57.89473684,2000000,245
X Thalaivan Sargunam,10,1,17,10,58.82352941,2000000,246
TD Paine(wk),10,2,26,5,38.46153846,2000000,247
KAJ Roach,10,1,9,10,111.1111111,2000000,248
P Chopra(wk),8,1,6,8,133.3333333,2000000,249
TM Srivastava,8,1,11,8,72.72727273,2000000,250
UA Birla,7,1,14,7,50,2000000,251
N Naik,7,1,16,7,43.75,2000000,252
AN Ghosh,7,2,8,3.5,87.5,2000000,253
R Bhui,7,2,17,3.5,41.17647059,2000000,254
PSP Handscomb,6,1,12,6,50,10000000,255
A Turner,3,3,10,1,30,5000000,256
RS Gavaskar,2,1,8,2,25,2000000,257
Mohammad Ashraful,2,1,10,2,20,5000000,258
VS Yeligati,2,1,2,2,100,2000000,259
H Das,2,1,5,2,40,10000000,260
M Wood,1,1,3,1,33.33333333,5000000,261
RR Bhatkal,0,2,2,0,0,2000000,262
Sunny Gupta,0,1,1,0,0,2000000,263
J Denly,0,1,1,0,0,10000000,264
