team1,team2,toss_winner,toss_loser,toss_winner_decision,toss_loser_decision,match_winner,venue,weather,id
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Dry,1
Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Lions,Field,Bat,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Dry,2
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Bat,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,3
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Dry,4
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,5
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Field,Kings XI Punjab,Holkar Cricket Stadium,Sunny,6
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,7
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kolkata Knight Riders,Eden Gardens,Humid,8
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Mumbai Indians,M Chinnaswamy Stadium,Sunny,9
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Humid,10
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat,Field,Delhi Daredevils,Feroz Shah Kotla,Humid,11
Gujarat Lions,Mumbai Indians,Mumbai Indians,Gujarat Lions,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,12
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Feroz Shah Kotla,Humid,13
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,14
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Humid,15
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,16
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Mumbai Indians,Holkar Cricket Stadium,Dry,17
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Kolkata Knight Riders,Field,Bat,Gujarat Lions,Eden Gardens,Humid,18
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Dry,19
Kings XI Punjab,Gujarat Lions,Gujarat Lions,Kings XI Punjab,Field,Bat,Kings XI Punjab,Saurashtra Cricket Association Stadium,Humid,20
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Dry,21
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Royal Challengers Bangalore,Field,Bat,Gujarat Lions,M Chinnaswamy Stadium,Humid,22
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Field,Bat,Kolkata Knight Riders,Eden Gardens,Humid,23
